dataset,activation,hidden_layers,units_per_layer,epochs_run,final_train_loss,best_val_loss,final_test_loss,test_accuracy,run
Iris,leaky_relu,4,32,194,0.09547033275843812,0.2235938195613817,0.12100435252934846,0.9666666666666667,19
Iris,leaky_relu,4,32,176,0.07772148897535806,0.2680997348645115,0.11978569863571381,0.9666666666666667,20
Iris,leaky_relu,4,32,163,0.13070550468997963,0.46370224313278663,0.15624255786856667,0.9666666666666667,21
Iris,leaky_relu,4,32,249,0.14326429724155312,0.295860842593746,0.1373026392989878,0.9333333333333333,22
Iris,leaky_relu,4,32,278,0.05970318218693885,0.17437890844368206,0.0721516006130572,1.0,23
Iris,leaky_relu,4,32,207,0.07931561480066852,0.2304485455221333,0.12136165122266727,0.9666666666666667,24
Iris,leaky_relu,4,32,109,0.12130879308491954,0.2765433223250419,0.15137347175725555,0.9333333333333333,25
Iris,leaky_relu,4,32,146,0.10446004860665159,0.3555552662753338,0.1352651022211327,0.9333333333333333,26
Iris,leaky_relu,4,32,135,0.10286992996168372,0.4401129189393868,0.15675943174717294,0.9,27
Iris,leaky_relu,4,32,276,0.05814204404524196,0.27872893728846687,0.09182844317294357,0.9666666666666667,28
Iris,leaky_relu,4,32,110,0.11044580478796891,0.43110020657893194,0.14360076654471496,0.9666666666666667,29
Iris,leaky_relu,15,32,110,0.05469460899465053,0.3458208531471307,0.16827964727615594,0.9666666666666667,0
Iris,leaky_relu,15,32,72,0.01509593399053554,0.20033651385169327,0.15908751724024625,0.9666666666666667,1
Iris,leaky_relu,15,32,55,0.04014999112030927,0.34816427097172387,0.2589773255217471,0.9333333333333333,2
Iris,leaky_relu,15,32,126,0.02631648530035785,0.21465325602791052,0.14313877765436364,0.9666666666666667,3
Iris,leaky_relu,15,32,105,0.055739505234671916,0.3060371966701556,0.1835061638898438,0.9666666666666667,4
Iris,leaky_relu,15,32,73,0.02092974638609882,0.14087816503544862,0.2483657373557225,0.9666666666666667,5
Iris,leaky_relu,15,32,64,0.03460566711107551,0.2752511855381191,0.09435357537119334,1.0,6
Iris,leaky_relu,15,32,123,0.027500010393155,0.31233572155837946,0.2074077390118947,0.9333333333333333,7
Iris,leaky_relu,15,32,93,0.16244091363159152,0.1718402561929037,0.07910231530167204,0.9666666666666667,8
Iris,leaky_relu,15,32,74,0.2989236806678954,0.38416162684616934,0.21770957693404852,1.0,9
Iris,leaky_relu,15,32,97,0.015352094773088127,0.09098288324575705,0.08279721997472002,0.9666666666666667,10
Iris,leaky_relu,15,32,77,4.919212587965475,0.28354432954061126,0.1684501219838215,0.9666666666666667,11
Iris,leaky_relu,15,32,111,0.0994126864672698,0.229624940112801,0.24954714320397928,1.0,12
Iris,leaky_relu,15,32,52,0.598055051711893,0.3776863467636827,0.3357094014513302,0.9666666666666667,13
Iris,leaky_relu,15,32,46,0.06610633395861652,0.19067163553728653,0.14130076549441195,1.0,14
Iris,leaky_relu,15,32,85,0.07821439003883228,0.5448168632084726,0.19451242678421635,0.9666666666666667,15
Iris,leaky_relu,15,32,44,0.06026831000135,0.22220052550334182,0.16122196939965655,0.9333333333333333,16
Iris,leaky_relu,15,32,123,0.03215377289969044,0.13007101643740734,0.09309211845866003,0.9666666666666667,17
Iris,leaky_relu,15,32,104,0.030654370368420652,0.22864677443353107,0.1464400600882354,0.9666666666666667,18
Iris,leaky_relu,15,32,53,0.20247714537614617,0.48808860714488517,0.2793839405706583,0.8666666666666667,19
Iris,leaky_relu,15,32,50,0.3675109979540448,0.3195425977303312,0.2169231538059369,0.9666666666666667,20
Iris,leaky_relu,15,32,50,0.054140467548643025,0.46650551454144473,0.1617113666619585,0.9666666666666667,21
Iris,leaky_relu,15,32,109,0.010078000658335211,0.045284172036062276,0.016146190967365474,1.0,22
